"GroupDomain","GroupGuid","EmailAddresses"
"compudata0365.onmicrosoft.com","d61f9fc2-9dac-4280-a2fb-b622a3c2047e","smtp:Accounting@compu.com"
"compudata0365.onmicrosoft.com","d61f9fc2-9dac-4280-a2fb-b622a3c2047e","SMTP:Accounting@compudata.com"
"compudata0365.onmicrosoft.com","d61f9fc2-9dac-4280-a2fb-b622a3c2047e","smtp:Accounting@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","d61f9fc2-9dac-4280-a2fb-b622a3c2047e","X500:/o=CompuData/ou=Philadelphia/cn=Recipients/cn=Accounting"
"compudata0365.onmicrosoft.com","72beab0e-f7f8-4d72-ad98-ea8b9ff6ffd7","smtp:Administration@compu.com"
"compudata0365.onmicrosoft.com","72beab0e-f7f8-4d72-ad98-ea8b9ff6ffd7","SMTP:Administration@compudata.com"
"compudata0365.onmicrosoft.com","72beab0e-f7f8-4d72-ad98-ea8b9ff6ffd7","smtp:Administration@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","72beab0e-f7f8-4d72-ad98-ea8b9ff6ffd7","X500:/o=CompuData/ou=Philadelphia/cn=Recipients/cn=Administration"
"compudata0365.onmicrosoft.com","9aa2a2ab-58a0-4133-8cd9-e8abd633e7cc","smtp:am-support@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","9aa2a2ab-58a0-4133-8cd9-e8abd633e7cc","SMTP:am-support@compudata.com"
"compudata0365.onmicrosoft.com","7e02f297-4323-4446-ae6f-6bb8e46bd4f9","SMTP:Autotaskusers@compudata.com"
"compudata0365.onmicrosoft.com","7e02f297-4323-4446-ae6f-6bb8e46bd4f9","smtp:autotaskusers@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","a3e88dbd-fe4d-4774-8c51-1266989481d6","SMTP:azurebamboohrusers@compudata.com"
"compudata0365.onmicrosoft.com","a3e88dbd-fe4d-4774-8c51-1266989481d6","smtp:Azure_BambooHR_Users@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","01aca809-4316-4fcd-95c7-1dc8a4fe28b2","SMTP:azurecodetwo@compudata.com"
"compudata0365.onmicrosoft.com","01aca809-4316-4fcd-95c7-1dc8a4fe28b2","smtp:Azure_CodeTwo_Users@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","8d0968ec-c12b-4c16-b813-4fe9ff0d8bd8","SMTP:itglueusers@compudata.com"
"compudata0365.onmicrosoft.com","8d0968ec-c12b-4c16-b813-4fe9ff0d8bd8","smtp:itglueusers@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","a3bd86e5-6c8f-49c8-97bf-ed2dd16738fa","SMTP:azureknowbe4users@compudata.com"
"compudata0365.onmicrosoft.com","a3bd86e5-6c8f-49c8-97bf-ed2dd16738fa","smtp:azureknowbe4users@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","13481a93-3987-4ad0-a862-77b7d212f113","SMTP:azuresalesforceusers@compudata.com"
"compudata0365.onmicrosoft.com","13481a93-3987-4ad0-a862-77b7d212f113","smtp:azuresalesforceusers@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","73abd386-1b19-4947-ae34-0c1bbe1ae6ba","SMTP:azuresharefileusers@compudata.com"
"compudata0365.onmicrosoft.com","73abd386-1b19-4947-ae34-0c1bbe1ae6ba","smtp:azuresharefileusers@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","3270eb79-40df-42c4-a76e-a323b2f258a2","SMTP:BusinessDevelopment@compudata.com"
"compudata0365.onmicrosoft.com","3270eb79-40df-42c4-a76e-a323b2f258a2","smtp:BusinessDevelopment@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","8f6c2231-436c-4ba0-b801-86f30689d000","smtp:alerts@compu.com"
"compudata0365.onmicrosoft.com","8f6c2231-436c-4ba0-b801-86f30689d000","smtp:backups@compu.com"
"compudata0365.onmicrosoft.com","8f6c2231-436c-4ba0-b801-86f30689d000","smtp:clientbackupreports@compu.com"
"compudata0365.onmicrosoft.com","8f6c2231-436c-4ba0-b801-86f30689d000","SMTP:clientbackupreports@compudata.com"
"compudata0365.onmicrosoft.com","8f6c2231-436c-4ba0-b801-86f30689d000","smtp:alerts@compudata.com"
"compudata0365.onmicrosoft.com","8f6c2231-436c-4ba0-b801-86f30689d000","smtp:backups@compudata.com"
"compudata0365.onmicrosoft.com","8f6c2231-436c-4ba0-b801-86f30689d000","smtp:clientbackupreports@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","8f6c2231-436c-4ba0-b801-86f30689d000","X500:/o=CompuData/ou=Philadelphia/cn=Recipients/cn=clientbackupreports"
"compudata0365.onmicrosoft.com","94be1ce1-f1d5-4531-b4ad-d2ec73b4ff7c","smtp:colo@compu.com"
"compudata0365.onmicrosoft.com","94be1ce1-f1d5-4531-b4ad-d2ec73b4ff7c","SMTP:colo@compudata.com"
"compudata0365.onmicrosoft.com","94be1ce1-f1d5-4531-b4ad-d2ec73b4ff7c","smtp:colo@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","94be1ce1-f1d5-4531-b4ad-d2ec73b4ff7c","X500:/o=CompuData/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=coloe3b"
"compudata0365.onmicrosoft.com","dc6f7608-d352-4675-afa4-44ed5636cc3f","smtp:comodo@compu.com"
"compudata0365.onmicrosoft.com","dc6f7608-d352-4675-afa4-44ed5636cc3f","SMTP:comodo@compudata.com"
"compudata0365.onmicrosoft.com","dc6f7608-d352-4675-afa4-44ed5636cc3f","smtp:comodo@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","dc6f7608-d352-4675-afa4-44ed5636cc3f","X500:/o=CompuData/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=comodo659"
"compudata0365.onmicrosoft.com","f9cd92e4-1dde-4d09-8157-f5284fcafdce","smtp:CompuDataAlerts@compu.com"
"compudata0365.onmicrosoft.com","f9cd92e4-1dde-4d09-8157-f5284fcafdce","SMTP:CompuDataAlerts@compudata.com"
"compudata0365.onmicrosoft.com","f9cd92e4-1dde-4d09-8157-f5284fcafdce","smtp:CompuDataAlerts@Compudata0365.onmicrosoft.com"
"compudata0365.onmicrosoft.com","f9cd92e4-1dde-4d09-8157-f5284fcafdce","X500:/O=CompuData/OU=Philadelphia/cn=Recipients/cn=CompuDataAlerts"
"compudata0365.onmicrosoft.com","7fa4fb52-205e-42ac-ad12-bee177f159dc","smtp:fwadmin@compu.com"
